frecuencia_hz,partida_g1_db,partida_g1_fase_grados,partida_g3_db,partida_g3_fase_grados,partida_g5_db,partida_g5_fase_grados,partida_g8_db,partida_g8_fase_grados,partida_g11_db,partida_g11_fase_grados,simple_g1_db,simple_g1_fase_grados,simple_g3_db,simple_g3_fase_grados,simple_g5_db,simple_g5_fase_grados,simple_g8_db,simple_g8_fase_grados,simple_g11_db,simple_g11_fase_grados
3.98107171,-1.02561187,38.633259,8.51672883,38.6331266,12.9536281,38.6329943,17.0359142,38.6327957,19.8018546,38.6325972,-1.32033207,29.8507384,3.52669341,59.6159313,7.21935385,70.3195959,11.0107841,77.0786065,13.6836513,80.2838432
4.16869383,-0.94040653,37.0205344,8.60193417,37.0203958,13.0388334,37.0202572,17.1211195,37.0200494,19.8870599,37.0198415,-1.25962009,28.7591767,3.78579114,58.4889964,7.5329695,68.870674,11.3481678,75.3686245,14.028959,78.4392326
4.36515832,-0.861918333,35.4653941,8.68042236,35.465249,13.1173216,35.4651039,17.1996077,35.4648862,19.9655481,35.4646685,-1.20159875,27.7109047,4.04145694,57.3533004,7.83990046,67.4113286,11.6770621,73.654909,14.3651243,76.5957531
4.5708819,-0.789674244,33.9669178,8.75266645,33.9667659,13.1895657,33.9666139,17.2718518,33.966386,20.0377922,33.966158,-1.14601733,26.7040003,4.29331713,56.2075689,8.13986074,65.9417006,11.9972964,71.9378556,14.6920271,74.7537248
4.78630092,-0.723225888,32.524058,8.81911481,32.5238988,13.2560141,32.5237397,17.3383002,32.523501,20.1042406,32.5232623,-1.09265301,25.7365281,4.54098467,55.0508914,8.43256486,64.4621713,12.3086966,70.2180349,15.0095402,72.9136301
5.01187234,-0.662149614,31.1356588,8.88019108,31.1354921,13.3170904,31.1353255,17.3993764,31.1350756,20.1653168,31.1348256,-1.04131031,24.8065565,4.78406603,53.8827232,8.71773203,62.9733633,12.6110892,68.4962003,15.3175338,71.0761231
5.2480746,-0.606046317,29.8004744,8.93629438,29.8002999,13.3731937,29.8001254,17.4554797,29.7998637,20.2214201,29.799602,-0.991820298,23.9121743,5.02216802,52.7028826,8.99509029,61.4761381,12.9043043,66.7732917,15.615879,69.2420359
5.49540874,-0.55454103,28.5171856,8.98779967,28.5170028,13.4246989,28.5168201,17.506985,28.5165461,20.2729254,28.516272,-0.944039556,23.0515068,5.25490441,51.5115417,9.26438082,59.9715898,13.1881806,65.0504359,15.9044523,67.4123804
5.75439937,-0.507282343,27.2844149,9.03505835,27.2842236,13.4719576,27.2840323,17.5542437,27.2837453,20.3201841,27.2834584,-0.897848855,22.2227304,5.48190219,50.3092131,9.52536202,58.4610355,13.4625688,63.3289425,16.1831394,65.5883462
6.02559586,-0.463941677,26.1007408,9.07839902,26.1005405,13.5152983,26.1003401,17.5975844,26.1000396,20.3635248,26.0997391,-0.853151599,21.4240872,5.70280752,49.0967304,9.77781363,56.9460026,13.7273357,61.6102961,16.4518397,63.7712939
