tiempo_s,entrada_v,entrada_pcm1808_v,riel_positivo_v,riel_negativo_v,entrada_no_inversora_v,salida_etapa_a_v,salida_etapa_b_v
0.00597511782,-0.233554862,-2.85164697,8.98236421,0,4.25777683,1.86218512,1.63938973
0.00597533576,-0.23152572,-2.84258382,8.98236421,0,4.25980648,1.88776211,1.64844818
0.00597556167,-0.229421778,-2.83058,8.98236421,0,4.26191094,1.91310201,1.66044714
0.00597585982,-0.226644445,-2.81150508,8.98236421,0,4.26468896,1.94542774,1.67951569
0.00597598167,-0.225509148,-2.80353472,8.98236421,0,4.26582453,1.95838365,1.68748346
0.00597610076,-0.224399515,-2.79596046,8.98236421,0,4.26693443,1.9709555,1.6950552
0.00597623214,-0.223175132,-2.78772928,8.98236421,0,4.26815911,1.98474525,1.7032836
0.00597638287,-0.22177018,-2.77832566,8.98236421,0,4.26956439,2.00048706,1.71268403
0.00597654285,-0.220278932,-2.76827125,8.98236421,0,4.27105599,2.01712374,1.72273509
0.00597674211,-0.218421081,-2.75555924,8.98236421,0,4.27291428,2.03777617,1.73544293
0.00597701066,-0.21591674,-2.73804945,8.98236421,0,4.2754192,2.06552781,1.75294713
0.00597737101,-0.212555352,-2.71380881,8.98236421,0,4.27878136,2.10268191,1.77718033
0.00597777083,-0.208824469,-2.68589105,8.98236421,0,4.28251309,2.14385101,1.80508991
0.00597827267,-0.204139755,-2.64937217,8.98236421,0,4.28719884,2.19549756,1.84159865
0.00597892604,-0.198037525,-2.59959232,8.98236421,0,4.29330238,2.26273638,1.8913655
0.00598020443,-0.186088172,-2.49600361,8.98236421,0,4.30525418,2.39435727,1.99492954
0.00598181187,-0.171046257,-2.35649403,8.98236421,0,4.32029897,2.55999599,2.13440958
0.00598502673,-0.140911621,-2.05736597,8.98236421,0,4.35043861,2.89173426,2.43348388
0.005989113,-0.102527533,-1.65447884,8.98236421,0,4.38882766,3.31416133,2.83631356
0.00599381282,-0.0582980735,-1.17681957,8.98236421,0,4.43306088,3.80080676,3.31392243
0.00599881282,-0.0111887666,-0.66203922,8.98236421,0,4.48017191,4.31904631,3.82866795
0.00600381282,0.0359315822,-0.144850729,8.98236421,0,4.52729162,4.83732676,4.34584116
0.00600881282,0.0830164709,0.372909501,8.98236421,0,4.57437352,5.35514132,4.86360571
0.00601381282,0.130019432,0.89033967,8.98236421,0,4.62137115,5.87198084,5.38105981
0.00601881282,0.17689408,1.40679888,8.98236421,0,4.66823811,6.38733558,5.89756252
0.00602381282,0.223594155,1.9217491,8.98236421,0,4.71492816,6.90069727,6.41257578
0.00602579339,0.242034233,2.12520235,8.98236421,0,4.73336362,7.10337693,6.61605939
0.00602706417,0.253846212,2.25535614,8.98236426,0,4.74517244,7.23135861,6.74623427
0.00602781285,0.260797816,2.33069243,8.98236459,0,4.75212212,7.29009488,6.82158356
0.00602849071,0.267086799,2.39544863,8.98236554,0,4.75840931,7.32039331,6.8863519
0.00602911417,0.272866758,2.45034733,8.98236705,0,4.76418759,7.33793355,6.94126204
0.00602987823,0.27994458,2.5109294,8.98236951,0,4.7712633,7.3526767,7.00185848
0.00603087601,0.28917765,2.57938894,8.98237345,0,4.78049352,7.36607658,7.07033725
0.00603266174,0.305673435,2.67610437,8.98238172,0,4.796984,7.38175631,7.16708823
0.00603420296,0.319879807,2.73754416,8.98238957,0,4.81118554,7.39090488,7.22855963
0.00603508563,0.328002389,2.76525263,8.98239426,0,4.81930527,7.39508913,7.2562865
0.00603625937,0.338787965,2.79531669,8.98240074,0,4.83008693,7.39982816,7.28637528
0.00603733309,0.348638222,2.81671785,8.982407,0,4.83993349,7.40354262,7.30779926
0.00603839751,0.358387562,2.83333788,8.98241359,0,4.84967907,7.40677759,7.32444207
0.00604017918,0.3746703,2.85326637,8.9824254,0,4.86595527,7.41143636,7.34440894
0.00604185976,0.389986165,2.86586439,8.98243713,0,4.88126471,7.41517704,7.35704336
0.00604358325,0.405647878,2.87470199,8.98244928,0,4.89691957,7.41851761,7.36591844
0.00604651566,0.432185015,2.88423148,8.98246943,0,4.92344442,7.42334312,7.3755119
0.00605130322,0.475191271,2.89237506,8.98250008,0,4.96642895,7.42961064,7.38376024
0.00605630322,0.519646182,2.89651541,8.98252927,0,5.010859,7.43474362,7.38801022
0.00606130322,0.563588265,2.89896322,8.98255642,0,5.054774,7.43892061,7.39056779
0.00606630322,0.606974155,2.90057703,8.98258202,0,5.09813064,7.44236895,7.39229145
0.00607130322,0.649761034,2.90180972,8.98260619,0,5.14088611,7.44528366,7.39363403
0.00607630322,0.691906677,2.90277368,8.98262888,0,5.18299822,7.44777445,7.39470793
0.00608130322,0.733369492,2.90355403,8.98265008,0,5.22442542,7.44991542,7.39559824
0.00608630322,0.77410856,2.90418969,8.98266972,0,5.26512682,7.45176049,7.3963439
0.00609130322,0.814083676,2.90471114,8.98268773,0,5.30506226,7.45334962,7.39697536
0.00609630322,0.85325539,2.90513666,8.98270404,0,5.34419231,7.45471294,7.39751092
0.00610130322,0.891585044,2.90548101,8.9827186,0,5.38247838,7.45587352,7.39796532
0.00610630322,0.929034811,2.90575406,8.98273133,0,5.41988266,7.45684911,7.39834843
0.00611130322,0.965567733,2.90596408,8.98274219,0,5.45636826,7.45765343,7.39866852
0.00611630322,1.00114776,2.90611662,8.98275115,0,5.49189916,7.45829697,7.39893114
0.00612130322,1.03573977,2.90621654,8.98275814,0,5.52644029,7.45878761,7.39914115
0.00612630322,1.06930963,2.90626685,8.98276316,0,5.55995757,7.45913098,7.39930154
0.00613130322,1.10182421,2.90627029,8.98276617,0,5.59241793,7.45933074,7.39941506
0.00613630322,1.13325142,2.9062287,8.98276724,0,5.62378933,7.45939557,7.39948355
0.00614130322,1.16356026,2.90615004,8.9827673,0,5.6540408,7.4593955,7.39951498
0.00614630322,1.19272079,2.90604995,8.98276731,0,5.6831425,7.45939538,7.39952497
0.00615130322,1.22070426,2.90594281,8.98276731,0,5.7110657,7.4593954,7.3995279
0.00615630322,1.24748304,2.90583361,8.98276731,0,5.73778285,7.45939538,7.39952878
0.00616130322,1.2730307,2.90572388,8.98276732,0,5.76326758,7.45939539,7.39952912
0.00616630322,1.29732204,2.90561383,8.98276731,0,5.78749474,7.45939537,7.39952913
0.00617130322,1.32033308,2.90550387,8.98276732,0,5.81044043,7.45939537,7.39952923
0.00617630322,1.3420411,2.90539375,8.98276732,0,5.83208199,7.45939536,7.39952916
0.00618130322,1.3624247,2.90528377,8.98276732,0,5.85239807,7.45939536,7.39952923
0.00618630322,1.38146374,2.90517365,8.98276732,0,5.87136862,7.45939535,7.39952916
0.00619130322,1.39913945,2.90506368,8.98276732,0,5.88897492,7.45939535,7.39952923
0.00619630322,1.41543438,2.90495357,8.98276732,0,5.9051996,7.45939533,7.39952916
0.00620130322,1.43033244,2.9048436,8.98276732,0,5.92002663,7.45939533,7.39952922
0.00620630322,1.44381894,2.90473351,8.98276732,0,5.9334414,7.45939532,7.39952916
0.00621130322,1.45588056,2.90462354,8.98276732,0,5.94543066,7.45939532,7.39952922
0.00621630322,1.4665054,2.90451346,8.98276732,0,5.95598258,7.45939531,7.39952916
0.00622130322,1.47568298,2.9044035,8.98276732,0,5.96508674,7.45939531,7.39952922
0.00622630322,1.48340424,2.90429342,8.98276732,0,5.97273417,7.4593953,7.39952916
0.00623130322,1.48966156,2.90418347,8.98276732,0,5.97891731,7.4593953,7.39952921
0.00623630322,1.49444877,2.90407341,8.98276732,0,5.98363006,7.45939528,7.39952915
0.00624130322,1.49776113,2.90396346,8.98276732,0,5.98686778,7.45939528,7.39952921
0.00624630322,1.49959538,2.90385341,8.98276732,0,5.98862726,7.45939527,7.39952915
0.00625130322,1.49994971,2.90374347,8.98276732,0,5.98890678,7.45939527,7.3995292
0.00625630322,1.49882378,2.90363343,8.98276732,0,5.98770605,7.45939526,7.39952915
0.00626130322,1.49621868,2.90352349,8.98276732,0,5.98502626,7.45939526,7.3995292
0.00626630322,1.492137,2.90341346,8.98276733,0,5.98087005,7.45939525,7.39952915
0.00627130322,1.48658276,2.90330353,8.98276733,0,5.97524153,7.45939524,7.39952919
0.00627630322,1.47956144,2.90319351,8.98276733,0,5.96814626,7.45939523,7.39952915
0.00628130322,1.47107997,2.90308359,8.98276733,0,5.95959122,7.45939523,7.39952919
0.00628630322,1.46114673,2.90297358,8.98276733,0,5.94958488,7.45939522,7.39952914
0.00629130322,1.44977151,2.90286366,8.98276733,0,5.93813709,7.45939522,7.39952919
0.00629630322,1.43696554,2.90275366,8.98276733,0,5.92525917,7.45939521,7.39952914
0.00630130322,1.42274146,2.90264375,8.98276733,0,5.91096382,7.45939521,7.39952918
0.00630630322,1.4071133,2.90253376,8.98276733,0,5.89526514,7.4593952,7.39952914
0.00631130322,1.3900965,2.90242386,8.98276733,0,5.87817864,7.45939519,7.39952918
0.00631630322,1.37170783,2.90231388,8.98276733,0,5.85972116,7.45939518,7.39952914
0.00632130322,1.35196546,2.90220398,8.98276733,0,5.83991094,7.45939518,7.39952917
0.00632630322,1.33088886,2.90209401,8.98276733,0,5.81876751,7.45939517,7.39952913
0.00633130322,1.30849883,2.90198412,8.98276733,0,5.79631175,7.45939517,7.39952917
0.00633630322,1.28481747,2.90187416,8.98276733,0,5.77256581,7.45939516,7.39952913
0.00634130322,1.25986815,2.90176428,8.98276733,0,5.74755314,7.45939516,7.39952917
0.00634630322,1.2336755,2.90165433,8.98276733,0,5.72129841,7.45939515,7.39952913
0.00635130322,1.20626536,2.90154445,8.98276733,0,5.69382754,7.45939514,7.39952916
0.00635630322,1.17766477,2.90143451,8.98276733,0,5.66516763,7.45939513,7.39952913
0.00636130322,1.14790198,2.90132464,8.98276733,0,5.63534697,7.45939513,7.39952916
0.00636630322,1.11700634,2.90121438,8.98276728,0,5.60439499,7.45939111,7.39952879
0.00637130322,1.08500836,2.90109787,8.98276632,0,5.57234224,7.45931792,7.39952218
