frecuencia_hz,carga_1meg_cable_300pf_db,carga_1meg_cable_600pf_db,carga_10k_cable_300pf_db,carga_10k_cable_600pf_db
6.76082975,-0.069180062,-0.0691570858,-5.10604511,-5.10603791
6.91830971,-0.0691786208,-0.0691545617,-5.10607315,-5.10606561
7.07945784,-0.0691771116,-0.0691519187,-5.10610251,-5.10609461
7.2443596,-0.0691755314,-0.0691491512,-5.10613326,-5.10612498
7.41310241,-0.0691738767,-0.0691462532,-5.10616545,-5.10615679
7.58577575,-0.069172144,-0.0691432186,-5.10619916,-5.10619009
7.76247117,-0.0691703296,-0.069140041,-5.10623446,-5.10622496
7.94328235,-0.0691684297,-0.0691367137,-5.10627142,-5.10626148
8.12830516,-0.0691664403,-0.0691332295,-5.10631012,-5.10629971
8.31763771,-0.0691643571,-0.0691295812,-5.10635065,-5.10633975
8.51138038,-0.0691621758,-0.0691257608,-5.10639309,-5.10638167
8.7096359,-0.0691598916,-0.0691217605,-5.10643752,-5.10642557
8.91250938,-0.0691574998,-0.0691175716,-5.10648405,-5.10647154
9.12010839,-0.0691549953,-0.0691131853,-5.10653278,-5.10651967
9.33254301,-0.0691523727,-0.0691085923,-5.1065838,-5.10657007
9.54992586,-0.0691496265,-0.0691037828,-5.10663722,-5.10662284
9.77237221,-0.0691467509,-0.0690987466,-5.10669316,-5.10667811
10,-0.0691437398,-0.0690934731,-5.10675173,-5.10673597
10.2329299,-0.0691405868,-0.0690879511,-5.10681307,-5.10679656
10.4712855,-0.0691372852,-0.0690821688,-5.10687729,-5.10686001
10.7151931,-0.0691338279,-0.069076114,-5.10694454,-5.10692645
10.964782,-0.0691302078,-0.0690697738,-5.10701496,-5.10699601
11.2201845,-0.069126417,-0.0690631348,-5.10708869,-5.10706885
11.4815362,-0.0691224476,-0.0690561829,-5.1071659,-5.10714513
11.7489755,-0.0691182911,-0.0690489034,-5.10724675,-5.107225
12.0226443,-0.0691139387,-0.0690412809,-5.1073314,-5.10730863
12.3026877,-0.0691093812,-0.069033299,-5.10742005,-5.1073962
12.5892541,-0.0691046088,-0.069024941,-5.10751286,-5.10748789
12.8824955,-0.0690996116,-0.0690161891,-5.10761005,-5.10758391
13.1825674,-0.0690943789,-0.0690070247,-5.10771182,-5.10768444
13.4896288,-0.0690888995,-0.0689974284,-5.10781839,-5.10778972
13.8038426,-0.0690831619,-0.0689873798,-5.10792997,-5.10789995
14.1253754,-0.0690771539,-0.0689768576,-5.10804681,-5.10801537
14.4543977,-0.0690708628,-0.0689658395,-5.10816915,-5.10813623
14.7910839,-0.0690642751,-0.0689543022,-5.10829725,-5.10826279
