# relojes.py 2026-09-13T15:25:20-05:00 sha256 c1a1431a00600481ec60da7c30896c65e9041f83086ab0f8109d3cb09029034b
# FREF 12 MHz; REFDIV 1-63; FBDIV 16-320; VCO 750-1600 MHz; POSTDIV1 y POSTDIV2 1-7. Divisor PIO entero 16 bits + fraccion/256; divisor GPOUT0 entero 24 bits + fraccion/256. Tiempos en ns en regimen estable, sin el jitter del PLL.
camino,refdiv,fbdiv,vco_hz,postdiv1,postdiv2,sysclk_hz,divisor,div_int,div_frac,divisor_entero,cumple_ref_min_5mhz,cumple_sysclk_max_133mhz,postdiv1_mayor_o_igual,periodo_sm_pp_ns,mclk_periodo_pp_ns,mclk_tie_pp_ns,duty_min,duty_max,pulso_min_ns,requiere_dc50,cumple_pcm1808
gpout0,1,66,792000000,5,6,26400000,2.1484375,2,38,False,True,True,False,,37.878787878787875,,,,,,
gpout0,1,66,792000000,6,1,132000000,10.7421875,10,190,False,True,True,True,,7.575757575757576,,,,,,
gpout0,1,66,792000000,6,2,66000000,5.37109375,5,95,False,True,True,True,,15.151515151515152,,,,,,
gpout0,1,66,792000000,6,5,26400000,2.1484375,2,38,False,True,True,True,,37.878787878787875,,,,,,
gpout0,1,67,804000000,1,1,804000000,65.4296875,65,110,False,True,False,True,,1.243781094527363,,,,,,
gpout0,1,67,804000000,1,2,402000000,32.71484375,32,183,False,True,False,False,,2.487562189054726,,,,,,
gpout0,1,67,804000000,1,5,160800000,13.0859375,13,22,False,True,False,False,,6.218905472636816,,,,,,
gpout0,1,67,804000000,2,1,402000000,32.71484375,32,183,False,True,False,True,,2.487562189054726,,,,,,
gpout0,1,67,804000000,2,5,80400000,6.54296875,6,139,False,True,True,False,,12.437810945273633,,,,,,
gpout0,1,67,804000000,5,1,160800000,13.0859375,13,22,False,True,False,True,,6.218905472636816,,,,,,
gpout0,1,67,804000000,5,2,80400000,6.54296875,6,139,False,True,True,True,,12.437810945273633,,,,,,
gpout0,1,67,804000000,5,5,32160000,2.6171875,2,158,False,True,True,True,,31.09452736318408,,,,,,
gpout0,1,68,816000000,1,1,816000000,66.40625,66,104,False,True,False,True,,1.2254901960784315,,,,,,
gpout0,1,68,816000000,1,2,408000000,33.203125,33,52,False,True,False,False,,2.450980392156863,,,,,,
gpout0,1,68,816000000,1,4,204000000,16.6015625,16,154,False,True,False,False,,4.901960784313726,,,,,,
gpout0,1,68,816000000,1,5,163200000,13.28125,13,72,False,True,False,False,,6.127450980392157,,,,,,
gpout0,1,68,816000000,2,1,408000000,33.203125,33,52,False,True,False,True,,2.450980392156863,,,,,,
gpout0,1,68,816000000,2,2,204000000,16.6015625,16,154,False,True,False,True,,4.901960784313726,,,,,,
gpout0,1,68,816000000,2,4,102000000,8.30078125,8,77,False,True,True,False,,9.803921568627452,,,,,,
gpout0,1,68,816000000,2,5,81600000,6.640625,6,164,False,True,True,False,,12.254901960784315,,,,,,
gpout0,1,68,816000000,4,1,204000000,16.6015625,16,154,False,True,False,True,,4.901960784313726,,,,,,
gpout0,1,68,816000000,4,2,102000000,8.30078125,8,77,False,True,True,True,,9.803921568627452,,,,,,
gpout0,1,68,816000000,4,5,40800000,3.3203125,3,82,False,True,True,False,,24.50980392156863,,,,,,
gpout0,1,68,816000000,5,1,163200000,13.28125,13,72,False,True,False,True,,6.127450980392157,,,,,,
gpout0,1,68,816000000,5,2,81600000,6.640625,6,164,False,True,True,True,,12.254901960784315,,,,,,
gpout0,1,68,816000000,5,4,40800000,3.3203125,3,82,False,True,True,True,,24.50980392156863,,,,,,
gpout0,1,68,816000000,5,5,32640000,2.65625,2,168,False,True,True,True,,30.637254901960784,,,,,,
gpout0,1,69,828000000,1,1,828000000,67.3828125,67,98,False,True,False,True,,1.2077294685990339,,,,,,
gpout0,1,69,828000000,1,2,414000000,33.69140625,33,177,False,True,False,False,,2.4154589371980677,,,,,,
gpout0,1,69,828000000,1,3,276000000,22.4609375,22,118,False,True,False,False,,3.6231884057971016,,,,,,
gpout0,1,69,828000000,1,5,165600000,13.4765625,13,122,False,True,False,False,,6.038647342995169,,,,,,
gpout0,1,69,828000000,1,6,138000000,11.23046875,11,59,False,True,False,False,,7.246376811594203,,,,,,
gpout0,1,69,828000000,2,1,414000000,33.69140625,33,177,False,True,False,True,,2.4154589371980677,,,,,,
gpout0,1,69,828000000,2,3,138000000,11.23046875,11,59,False,True,False,False,,7.246376811594203,,,,,,
gpout0,1,69,828000000,2,5,82800000,6.73828125,6,189,False,True,True,False,,12.077294685990339,,,,,,
gpout0,1,69,828000000,3,1,276000000,22.4609375,22,118,False,True,False,True,,3.6231884057971016,,,,,,
gpout0,1,69,828000000,3,2,138000000,11.23046875,11,59,False,True,False,True,,7.246376811594203,,,,,,
gpout0,1,69,828000000,3,5,55200000,4.4921875,4,126,False,True,True,False,,18.115942028985508,,,,,,
gpout0,1,69,828000000,5,1,165600000,13.4765625,13,122,False,True,False,True,,6.038647342995169,,,,,,
gpout0,1,69,828000000,5,2,82800000,6.73828125,6,189,False,True,True,True,,12.077294685990339,,,,,,
gpout0,1,69,828000000,5,3,55200000,4.4921875,4,126,False,True,True,True,,18.115942028985508,,,,,,
gpout0,1,69,828000000,5,5,33120000,2.6953125,2,178,False,True,True,True,,30.193236714975846,,,,,,
gpout0,1,69,828000000,5,6,27600000,2.24609375,2,63,False,True,True,False,,36.231884057971016,,,,,,
gpout0,1,69,828000000,6,1,138000000,11.23046875,11,59,False,True,False,True,,7.246376811594203,,,,,,
gpout0,1,69,828000000,6,5,27600000,2.24609375,2,63,False,True,True,True,,36.231884057971016,,,,,,
gpout0,1,70,840000000,1,1,840000000,68.359375,68,92,False,True,False,True,,1.1904761904761905,,,,,,
gpout0,1,70,840000000,1,2,420000000,34.1796875,34,46,False,True,False,False,,2.380952380952381,,,,,,
gpout0,1,70,840000000,1,4,210000000,17.08984375,17,23,False,True,False,False,,4.761904761904762,,,,,,
gpout0,1,70,840000000,1,5,168000000,13.671875,13,172,False,True,False,False,,5.9523809523809526,,,,,,
gpout0,1,70,840000000,1,7,120000000,9.765625,9,196,False,True,True,False,,8.333333333333334,,,,,,
gpout0,1,70,840000000,2,1,420000000,34.1796875,34,46,False,True,False,True,,2.380952380952381,,,,,,
gpout0,1,70,840000000,2,2,210000000,17.08984375,17,23,False,True,False,True,,4.761904761904762,,,,,,
gpout0,1,70,840000000,2,5,84000000,6.8359375,6,214,False,True,True,False,,11.904761904761905,,,,,,
gpout0,1,70,840000000,2,7,60000000,4.8828125,4,226,False,True,True,False,,16.666666666666668,,,,,,
gpout0,1,70,840000000,4,1,210000000,17.08984375,17,23,False,True,False,True,,4.761904761904762,,,,,,
gpout0,1,70,840000000,4,5,42000000,3.41796875,3,107,False,True,True,False,,23.80952380952381,,,,,,
gpout0,1,70,840000000,4,7,30000000,2.44140625,2,113,False,True,True,False,,33.333333333333336,,,,,,
gpout0,1,70,840000000,5,1,168000000,13.671875,13,172,False,True,False,True,,5.9523809523809526,,,,,,
gpout0,1,70,840000000,5,2,84000000,6.8359375,6,214,False,True,True,True,,11.904761904761905,,,,,,
gpout0,1,70,840000000,5,4,42000000,3.41796875,3,107,False,True,True,True,,23.80952380952381,,,,,,
gpout0,1,70,840000000,5,5,33600000,2.734375,2,188,False,True,True,True,,29.761904761904763,,,,,,
gpout0,1,70,840000000,7,1,120000000,9.765625,9,196,False,True,True,True,,8.333333333333334,,,,,,
gpout0,1,70,840000000,7,2,60000000,4.8828125,4,226,False,True,True,True,,16.666666666666668,,,,,,
gpout0,1,70,840000000,7,4,30000000,2.44140625,2,113,False,True,True,True,,33.333333333333336,,,,,,
gpout0,1,71,852000000,1,1,852000000,69.3359375,69,86,False,True,False,True,,1.1737089201877935,,,,,,
